genre,avg_rating,num_ratings,num_movies
Drama,3.6873793708484772,39895,725
Comedy,3.3940734781442745,29832,505
Action,3.480245417953027,25589,251
Thriller,3.5090069495245064,21872,251
Romance,3.621704948358255,19461,247
Adventure,3.503526503308369,13753,135
Sci-Fi,3.5607227022780834,12730,101
War,3.815811874866993,9398,71
Crime,3.6322780881440098,8055,109
Children,3.3532442216652742,7182,122
Horror,3.2903893172841827,5317,92
Mystery,3.63813155386082,5245,61
Musical,3.521396851029471,4954,56
Animation,3.5766990291262135,3605,42
Western,3.6132686084142396,1854,27
Film-Noir,3.9215233698788228,1733,24
Fantasy,3.2152366863905324,1352,22
Documentary,3.6728232189973613,758,50
